Wall time,Step,Value
1653923842.9093022,1092,0.5
1653923844.9049964,2604,0.6875
1653923846.110467,3608,0.9523809552192688
1653923852.8611193,5644,1.029411792755127
1653923853.4255755,5912,1.0
1653923854.0663428,6212,1.0
1653923856.3600798,7332,1.0930233001708984
1653923857.0493762,7660,1.106382966041565
1653923861.4637754,9820,1.137930989265442
1653923862.3743818,10264,1.262295126914978
1653923868.346612,13200,1.3116883039474487
1653923870.125785,14040,1.2380952835083008
1653923871.049579,14472,1.2272727489471436
1653923875.8580801,16800,1.2100000381469727
1653923879.4775643,18556,1.2400000095367432
1653923884.1640348,20828,1.350000023841858
1653923884.871747,21176,1.340000033378601
1653923887.3768563,22368,1.340000033378601
1653923889.7767684,23464,1.2599999904632568
1653923891.4832065,24308,1.2699999809265137
1653923891.9219015,24500,1.2699999809265137
1653923893.4107857,25220,1.2999999523162842
1653923904.3621473,30468,1.2899999618530273
1653923905.8418617,31176,1.3300000429153442
1653923909.3623507,32824,1.2999999523162842
1653923910.7323778,33468,1.2999999523162842
1653923911.9123206,34012,1.2799999713897705
1653923913.87753,34936,1.2400000095367432
1653923915.2985685,35588,1.1299999952316284
1653923920.2282362,37904,1.090000033378601
1653923924.2057185,39740,1.100000023841858
1653923924.737109,40000,1.1100000143051147
1653923927.49316,41316,1.090000033378601
1653923930.8336434,42900,1.059999942779541
1653923933.514287,44184,1.090000033378601
1653923936.0020034,45380,1.0800000429153442
1653923940.2309816,47360,1.0800000429153442
1653923941.1369815,47780,1.0700000524520874
1653923956.032598,54828,1.2699999809265137
1653923956.372177,55000,1.2699999809265137
1653923961.2628639,57328,1.3700000047683716
1653923962.0363462,57680,1.2999999523162842
1653923962.7172072,57992,1.2699999809265137
1653923967.0356772,60036,1.25
1653923967.9903808,60472,1.2599999904632568
1653923968.1874385,60564,1.2599999904632568
1653923971.3515265,61900,1.2200000286102295
1653923976.7703824,64444,1.3200000524520874
1653923977.399195,64732,1.3600000143051147
1653923985.274357,68476,1.6299999952316284
1653923990.3024437,70840,1.75
1653923991.8846104,71580,1.6799999475479126
1653923999.437515,75112,1.6200000047683716
1653924002.2373302,76436,1.7000000476837158
1653924004.14931,77304,1.7300000190734863
1653924004.618495,77516,1.75
1653924005.8679926,78072,1.6699999570846558
1653924006.1969187,78228,1.6799999475479126
1653924010.6170683,80204,1.7000000476837158
1653924017.0472174,83212,1.6399999856948853
1653924017.7944715,83564,1.7200000286102295
1653924021.1317816,85108,1.5099999904632568
1653924023.2107275,86060,1.4700000286102295
1653924023.385699,86144,1.4700000286102295
1653924023.9653852,86412,1.440000057220459
1653924025.1931891,86976,1.5299999713897705
1653924025.7865353,87252,1.5099999904632568
1653924029.5612736,89004,1.5199999809265137
1653924032.037343,90140,1.5099999904632568
1653924036.17632,92052,1.5399999618530273
1653924037.7218826,92760,1.6100000143051147
1653924045.5539017,96440,1.659999966621399
1653924046.6114497,96920,1.659999966621399
1653924047.9203186,97512,1.690000057220459
1653924048.2343962,97664,1.690000057220459
1653924050.2940464,98624,1.7200000286102295
1653924052.867698,99808,1.6200000047683716
1653924053.9874272,100300,1.5800000429153442
1653924055.536491,101020,1.5399999618530273
1653924057.4158525,101920,1.659999966621399
1653924058.622713,102464,1.6699999570846558
1653924061.376842,103736,1.6799999475479126
1653924062.6521938,104328,1.7100000381469727
1653924063.292073,104620,1.6399999856948853
1653924063.7392375,104836,1.6399999856948853
1653924065.5206425,105612,1.5399999618530273
1653924066.67916,106128,1.5299999713897705
1653924067.2386734,106372,1.5099999904632568
1653924068.6238434,107008,1.4600000381469727
1653924069.2242124,107288,1.4800000190734863
1653924070.3228393,107760,1.5199999809265137
1653924071.5125625,108296,1.5299999713897705
1653924073.5113783,109248,1.5399999618530273
1653924073.7364893,109340,1.5099999904632568
1653924080.5425582,112416,1.4900000095367432
1653924081.6602764,112920,1.5099999904632568
1653924090.9942706,117152,1.3700000047683716
1653924093.0490327,118076,1.350000023841858
1653924094.6167836,118796,1.3300000429153442
1653924099.2418458,120932,1.3200000524520874
1653924100.232131,121376,1.340000033378601
1653924101.8979635,122124,1.309999942779541
1653924102.4948251,122392,1.2999999523162842
1653924104.5195694,123312,1.3799999952316284
1653924104.9630754,123500,1.409999966621399
1653924108.9888582,125276,1.3200000524520874
1653924109.5033143,125500,1.340000033378601
1653924113.2361116,127188,1.399999976158142
1653924113.8638582,127456,1.440000057220459
1653924115.9509118,128364,1.2799999713897705
1653924117.1580591,128920,1.2699999809265137
1653924118.381523,129492,1.2899999618530273
1653924121.6105866,130988,1.440000057220459
1653924121.9115503,131112,1.440000057220459
